Container Name	Plate ID	Description	ContainerType	AppType	Owner	Operator	PlateSealing	SchedulingPref
		Long run	96-Well	Regular	James	Natasha	Septa	1234
AppServer	AppInstance							
SequencingAnalysis								
Well	Sample Name	Comment	Results Group 1	Instrument Protocol 1	Analysis Protocol 1			
A01	empty	Comment	OZGene	FullSeq	OzgeneStd			
B01	empty	Comment	OZGene	FullSeq	OzgeneStd			
C01	empty	Comment	OZGene	FullSeq	OzgeneStd			
D01	empty	Comment	OZGene	FullSeq	OzgeneStd			
E01	empty	Comment	OZGene	FullSeq	OzgeneStd			
F01	empty	Comment	OZGene	FullSeq	OzgeneStd			
G01	empty	Comment	OZGene	FullSeq	OzgeneStd			
H01	empty	Comment	OZGene	FullSeq	OzgeneStd			
A02	empty	Comment	OZGene	FullSeq	OzgeneStd			
B02	empty	Comment	OZGene	FullSeq	OzgeneStd			
C02	empty	Comment	OZGene	FullSeq	OzgeneStd			
D02	empty	Comment	OZGene	FullSeq	OzgeneStd			
E02	empty	Comment	OZGene	FullSeq	OzgeneStd			
F02	empty	Comment	OZGene	FullSeq	OzgeneStd			
G02	empty	Comment	OZGene	FullSeq	OzgeneStd			
H02	empty	Comment	OZGene	FullSeq	OzgeneStd			
A03	empty	Comment	OZGene	FullSeq	OzgeneStd			
B03	empty	Comment	OZGene	FullSeq	OzgeneStd			
C03	empty	Comment	OZGene	FullSeq	OzgeneStd			
D03	empty	Comment	OZGene	FullSeq	OzgeneStd			
E03	empty	Comment	OZGene	FullSeq	OzgeneStd			
F03	empty	Comment	OZGene	FullSeq	OzgeneStd			
G03	empty	Comment	OZGene	FullSeq	OzgeneStd			
H03	empty	Comment	OZGene	FullSeq	OzgeneStd			
A04	empty	Comment	OZGene	FullSeq	OzgeneStd			
B04	empty	Comment	OZGene	FullSeq	OzgeneStd			
C04	empty	Comment	OZGene	FullSeq	OzgeneStd			
D04	empty	Comment	OZGene	FullSeq	OzgeneStd			
E04	empty	Comment	OZGene	FullSeq	OzgeneStd			
F04	empty	Comment	OZGene	FullSeq	OzgeneStd			
G04	empty	Comment	OZGene	FullSeq	OzgeneStd			
H04	empty	Comment	OZGene	FullSeq	OzgeneStd			
A05	empty	Comment	OZGene	FullSeq	OzgeneStd			
B05	empty	Comment	OZGene	FullSeq	OzgeneStd			
C05	empty	Comment	OZGene	FullSeq	OzgeneStd			
D05	empty	Comment	OZGene	FullSeq	OzgeneStd			
E05	empty	Comment	OZGene	FullSeq	OzgeneStd			
F05	empty	Comment	OZGene	FullSeq	OzgeneStd			
G05	empty	Comment	OZGene	FullSeq	OzgeneStd			
H05	empty	Comment	OZGene	FullSeq	OzgeneStd			
A06	empty	Comment	OZGene	FullSeq	OzgeneStd			
B06	empty	Comment	OZGene	FullSeq	OzgeneStd			
C06	empty	Comment	OZGene	FullSeq	OzgeneStd			
D06	empty	Comment	OZGene	FullSeq	OzgeneStd			
E06	empty	Comment	OZGene	FullSeq	OzgeneStd			
F06	empty	Comment	OZGene	FullSeq	OzgeneStd			
G06	empty	Comment	OZGene	FullSeq	OzgeneStd			
H06	empty	Comment	OZGene	FullSeq	OzgeneStd			
A07	empty	Comment	OZGene	FullSeq	OzgeneStd			
B07	empty	Comment	OZGene	FullSeq	OzgeneStd			
C07	empty	Comment	OZGene	FullSeq	OzgeneStd			
D07	empty	Comment	OZGene	FullSeq	OzgeneStd			
E07	empty	Comment	OZGene	FullSeq	OzgeneStd			
F07	empty	Comment	OZGene	FullSeq	OzgeneStd			
G07	empty	Comment	OZGene	FullSeq	OzgeneStd			
H07	empty	Comment	OZGene	FullSeq	OzgeneStd			
A08	empty	Comment	OZGene	FullSeq	OzgeneStd			
B08	empty	Comment	OZGene	FullSeq	OzgeneStd			
C08	empty	Comment	OZGene	FullSeq	OzgeneStd			
D08	empty	Comment	OZGene	FullSeq	OzgeneStd			
E08	empty	Comment	OZGene	FullSeq	OzgeneStd			
F08	empty	Comment	OZGene	FullSeq	OzgeneStd			
G08	empty	Comment	OZGene	FullSeq	OzgeneStd			
H08	empty	Comment	OZGene	FullSeq	OzgeneStd			
A09	empty	Comment	OZGene	FullSeq	OzgeneStd			
B09	empty	Comment	OZGene	FullSeq	OzgeneStd			
C09	empty	Comment	OZGene	FullSeq	OzgeneStd			
D09	empty	Comment	OZGene	FullSeq	OzgeneStd			
E09	empty	Comment	OZGene	FullSeq	OzgeneStd			
F09	empty	Comment	OZGene	FullSeq	OzgeneStd			
G09	empty	Comment	OZGene	FullSeq	OzgeneStd			
H09	empty	Comment	OZGene	FullSeq	OzgeneStd			
A10	empty	Comment	OZGene	FullSeq	OzgeneStd			
B10	empty	Comment	OZGene	FullSeq	OzgeneStd			
C10	empty	Comment	OZGene	FullSeq	OzgeneStd			
D10	empty	Comment	OZGene	FullSeq	OzgeneStd			
E10	empty	Comment	OZGene	FullSeq	OzgeneStd			
F10	empty	Comment	OZGene	FullSeq	OzgeneStd			
G10	empty	Comment	OZGene	FullSeq	OzgeneStd			
H10	empty	Comment	OZGene	FullSeq	OzgeneStd			
A11	empty	Comment	OZGene	FullSeq	OzgeneStd			
B11	empty	Comment	OZGene	FullSeq	OzgeneStd			
C11	empty	Comment	OZGene	FullSeq	OzgeneStd			
D11	empty	Comment	OZGene	FullSeq	OzgeneStd			
E11	empty	Comment	OZGene	FullSeq	OzgeneStd			
F11	empty	Comment	OZGene	FullSeq	OzgeneStd			
G11	empty	Comment	OZGene	FullSeq	OzgeneStd			
H11	empty	Comment	OZGene	FullSeq	OzgeneStd			
A12	empty	Comment	OZGene	FullSeq	OzgeneStd			
B12	empty	Comment	OZGene	FullSeq	OzgeneStd			
C12	empty	Comment	OZGene	FullSeq	OzgeneStd			
D12	empty	Comment	OZGene	FullSeq	OzgeneStd			
E12	empty	Comment	OZGene	FullSeq	OzgeneStd			
F12	empty	Comment	OZGene	FullSeq	OzgeneStd			
G12	empty	Comment	OZGene	FullSeq	OzgeneStd			
H12	empty	Comment	OZGene	FullSeq	OzgeneStd			
